Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,Cultivar,DATASTORE filetype,DATASTORE provider,DATASTORE region,Depth,Ecotype,elev,env_broad_scale,env_local_scale,env_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,isolate,isolation_and_growth_condition,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study
SRR25384227,AMPLICON,476,181813912,PRJNA985135,SAMN35789739,"MIMS.me,MIGS/MIMS/MIMARKS.soil",63447964,UNIVERSITY OF VIGO,2018-07-04,public,missing,"sra,run.zq,fastq","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",20cm,missing,185,ENVO:01000197,ENVO:01000197,ENVO:00001998,SRX21122771,Portugal,Europe,Portugal,Illumina MiSeq,missing,missing,38.41923 N 8.10367 W,Lucas0372,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2023-07-22T00:00:00Z,2023-07-21T14:28:00Z,1,LUCAS_372,SRP450765
SRR25384228,AMPLICON,476,160168764,PRJNA985135,SAMN35789738,"MIMS.me,MIGS/MIMS/MIMARKS.soil",54441870,UNIVERSITY OF VIGO,2018-07-09,public,missing,"run.zq,fastq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",20cm,missing,1045,ENVO:01000197,ENVO:01000197,ENVO:00001998,SRX21122770,Italy,Europe,Italy,Illumina MiSeq,missing,missing,46.04957 N 11.69071 E,Lucas0371,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2023-07-22T00:00:00Z,2023-07-21T14:28:00Z,1,LUCAS_371,SRP450765
SRR25384229,AMPLICON,476,210177324,PRJNA985135,SAMN35789405,"MIMS.me,MIGS/MIMS/MIMARKS.soil",72284086,UNIVERSITY OF VIGO,2018-05-29,public,missing,"fastq,run.zq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",20cm,missing,227,ENVO:01000245,ENVO:01000245,ENVO:00001998,SRX21122769,Austria,Europe,Austria,Illumina MiSeq,missing,missing,48.25367 N 15.75418 E,Lucas0038,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2023-07-22T00:00:00Z,2023-07-21T14:28:00Z,1,LUCAS_38,SRP450765
SRR25384230,AMPLICON,476,277772180,PRJNA985135,SAMN35789737,"MIMS.me,MIGS/MIMS/MIMARKS.soil",94297302,UNIVERSITY OF VIGO,2018-07-04,public,missing,"run.zq,sra,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",20cm,missing,761,ENVO:01000245,ENVO:01000245,ENVO:00001998,SRX21122768,Spain,Europe,Spain,Illumina MiSeq,missing,missing,40.77399 N 3.24676 W,Lucas0370,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2023-07-22T00:00:00Z,2023-07-21T14:28:00Z,1,LUCAS_370,SRP450765
SRR25384231,AMPLICON,476,179487224,PRJNA985135,SAMN35789736,"MIMS.me,MIGS/MIMS/MIMARKS.soil",61063442,UNIVERSITY OF VIGO,2018-07-10,public,missing,"fastq,run.zq,sra","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",20cm,missing,283,ENVO:01000193,ENVO:01000193,ENVO:00001998,SRX21122767,France,Europe,France,Illumina MiSeq,missing,missing,45.077 N 5.77554 E,Lucas0369,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2023-07-22T00:00:00Z,2023-07-21T14:28:00Z,1,LUCAS_369,SRP450765
SRR25384232,AMPLICON,476,297496192,PRJNA985135,SAMN35789735,"MIMS.me,MIGS/MIMS/MIMARKS.soil",101098503,UNIVERSITY OF VIGO,2018-07-02,public,missing,"fastq,run.zq,sra","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",20cm,missing,1224,ENVO:01000193,ENVO:01000193,ENVO:00001998,SRX21122766,Italy,Europe,Italy,Illumina MiSeq,missing,missing,37.86835 N 14.68523 E,Lucas0368,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2023-07-22T00:00:00Z,2023-07-21T14:28:00Z,1,LUCAS_368,SRP450765
SRR25384233,AMPLICON,476,190753192,PRJNA985135,SAMN35789734,"MIMS.me,MIGS/MIMS/MIMARKS.soil",79047780,UNIVERSITY OF VIGO,2018-07-03,public,missing,"fastq,run.zq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",20cm,missing,65,ENVO:01000245,ENVO:01000245,ENVO:00001998,SRX21122765,Portugal,Europe,Portugal,Illumina MiSeq,missing,missing,37.95506 N 8.30363 W,Lucas0367,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2023-07-22T00:00:00Z,2023-07-21T14:28:00Z,1,LUCAS_367,SRP450765
SRR25384234,AMPLICON,476,126284228,PRJNA985135,SAMN35789733,"MIMS.me,MIGS/MIMS/MIMARKS.soil",43930530,UNIVERSITY OF VIGO,2018-07-03,public,missing,"sra,fastq,run.zq","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",20cm,missing,653,ENVO:01000245,ENVO:01000245,ENVO:00001998,SRX21122764,Spain,Europe,Spain,Illumina MiSeq,missing,missing,41.46242 N 5.31853 W,Lucas0366,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2023-07-22T00:00:00Z,2023-07-21T14:28:00Z,1,LUCAS_366,SRP450765
SRR25384235,AMPLICON,476,264835928,PRJNA985135,SAMN35789732,"MIMS.me,MIGS/MIMS/MIMARKS.soil",90508237,UNIVERSITY OF VIGO,2018-07-03,public,missing,"run.zq,fastq,sra","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",20cm,missing,1475,ENVO:01000215,ENVO:01000215,ENVO:00001998,SRX21122763,Spain,Europe,Spain,Illumina MiSeq,missing,missing,40.48681 N 0.66228 W,Lucas0365,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2023-07-22T00:00:00Z,2023-07-21T14:28:00Z,1,LUCAS_365,SRP450765
SRR25384236,AMPLICON,476,195928740,PRJNA985135,SAMN35789731,"MIMS.me,MIGS/MIMS/MIMARKS.soil",67451105,UNIVERSITY OF VIGO,2018-07-04,public,missing,"fastq,sra,run.zq","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",20cm,missing,255,ENVO:01000193,ENVO:01000193,ENVO:00001998,SRX21122762,United Kingdom,Europe,United Kingdom,Illumina MiSeq,missing,missing,55.6217 N 4.11295 W,Lucas0364,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2023-07-22T00:00:00Z,2023-07-21T14:28:00Z,1,LUCAS_364,SRP450765
