POINT_ID,BD 0-10,BD 10-20,BD 20-30,BD 0-20
30283550,0.219,0.359,,0.289
26762002,1.303,1.536,,1.42
27842416,0.892,1.018,,0.955
26942016,1.068,1.111,,1.089
26962018,0.956,1.219,,1.088
30303360,0.852,1.034,,0.943
27922412,0.872,1.072,,0.972
27022016,1.516,1.27,1.314,1.393
27962406,1.076,1.206,,1.141
26881938,1.273,1.199,1.283,1.236
28002400,1.287,1.388,,1.337
27122016,0.927,0.887,0.889,0.907
27162028,0.871,0.887,1.004,0.879
26581768,1.133,,,
27402128,1.562,1.37,,1.466
28102420,0.818,0.893,,0.856
27782284,0.986,1.016,1.015,1.001
27982368,1.078,1.086,,1.082
27061970,1.245,1.319,1.223,1.282
28022380,1.138,1.211,,1.175
28082404,1.171,1.292,,1.232
27462138,1.298,1.404,1.486,1.351
26741814,1.223,1.439,1.523,1.331
27021938,1.485,1.527,1.521,1.506
27182008,1.436,,,
27722242,0.853,0.916,0.923,0.885
27202006,1.043,0.984,1.094,1.013
27482128,1.193,1.2,1.395,1.196
27702222,0.895,1.095,1.026,0.995
27882298,0.923,1.034,,0.979
27722228,1.196,1.128,1.087,1.162
28082380,1.119,1.267,,1.193
27762242,0.51,0.605,0.715,0.557
27742232,0.601,0.722,0.844,0.661
26761786,1.083,1.063,0.876,1.073
27302020,1.249,1.259,0.968,1.254
27522114,1.311,1.262,1.185,1.286
27001882,1.43,1.413,1.505,1.421
27201962,1.55,1.454,1.474,1.502
27542110,1.365,1.303,1.152,1.334
27562118,1.388,1.563,,1.475
31103548,0.807,0.791,,0.799
27382028,0.948,1.106,1.093,1.027
30623360,0.945,1.17,,1.058
28322424,0.919,0.95,,0.935
28222378,0.609,0.899,,0.754
26841764,1.021,1.036,0.996,1.029
28142338,0.61,0.685,,0.647
27842206,1.118,,,
28162332,1.017,1.113,,1.065
28362414,0.783,0.815,,0.799
27281940,1.271,1.222,1.281,1.246
28342404,0.671,0.846,,0.759
31003478,0.131,0.244,,0.188
30663346,0.89,1.169,,1.03
27241916,1.208,1.241,1.218,1.225
28422424,1.453,1.571,,1.512
28022250,1.221,1.011,0.97,1.116
28262354,0.69,0.968,,0.829
27081828,1.197,1.429,1.43,1.313
31063480,1.308,1.348,,1.328
28362378,0.816,0.85,,0.833
27101814,1.269,1.359,1.273,1.314
28442408,0.699,0.739,,0.719
27341920,1.319,1.199,1.265,1.259
27181846,1.419,1.543,1.614,1.481
28282334,0.761,0.777,,0.769
27221858,1.501,1.528,1.446,1.515
28402378,0.662,0.639,,0.651
28362360,1.03,1.183,,1.107
30823370,0.987,1.093,,1.04
28382362,1.341,1.586,,1.464
27161812,1.227,1.306,1.29,1.267
27902146,0.929,0.837,0.874,0.883
27561988,1.063,0.952,0.87,1.008
27061758,1.305,1.228,1.136,1.267
27381902,1.324,1.271,1.273,1.298
27722056,1.165,1.187,1.122,1.176
27982170,1.21,1.269,1.188,1.24
27221822,1.242,1.255,1.274,1.249
28222270,0.736,0.773,,0.754
27421902,1.263,1.538,1.245,1.401
31083442,0.693,0.735,,0.714
28582414,1.114,1.186,,1.15
28482368,1.065,1.124,,1.094
27561952,1.33,1.564,1.548,1.447
28302282,1.141,1.07,,1.106
27201772,1.315,0.95,,1.132
27361846,1.128,,,
27461892,1.219,1.331,1.295,1.275
28022146,1.134,1.01,1.188,1.072
27922096,0.857,0.793,0.989,0.825
27481894,1.301,1.219,1.325,1.26
28402306,0.632,0.768,,0.7
31783686,0.933,1.237,,1.085
28742448,0.773,0.913,,0.843
27501892,1.158,1.242,1.28,1.2
27401840,0.983,1.074,1.038,1.028
28482326,0.925,0.965,,0.945
27241758,1.133,1.227,1.348,1.18
28202196,0.991,1.062,1.099,1.027
28042122,0.922,0.898,0.882,0.91
28022110,1.053,1.074,1.026,1.063
28382268,0.867,0.874,,0.871
27321784,1.442,1.434,,1.438
31163428,0.963,1.366,,1.165
28822460,0.665,0.913,,0.789
27862032,1.375,1.34,1.363,1.358
27681946,1.258,1.248,1.228,1.253
27461842,1.219,,,
28322234,1.666,,,
27922046,0.563,0.676,0.715,0.619
