Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Depth,elev,env_broad_scale,env_local_scale,env_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study
SRR24061653,AMPLICON,487,51986628,PRJNA952168,SAMN34067041,"MIMS.me,MIGS/MIMS/MIMARKS.soil",20670854,UNIVERSITY OF ZURICH,2018-07-03,public,"fastq,sra,run.zq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",20cm,653,ENVO:01000245,ENVO:01000245,ENVO:00001998,SRX19863310,Spain,Europe,Spain,Illumina MiSeq,41.46242 N 5.31853 W,366_HLTHGDRXX,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2023-06-09T00:00:00Z,2023-04-04T11:11:00Z,1,LUCAS_366,SRP430822
SRR24061654,AMPLICON,487,3319863,PRJNA952168,SAMN34067041,"MIMS.me,MIGS/MIMS/MIMARKS.soil",1424204,UNIVERSITY OF ZURICH,2018-07-03,public,"sra,run.zq,fastq","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",20cm,653,ENVO:01000245,ENVO:01000245,ENVO:00001998,SRX19863309,Spain,Europe,Spain,Illumina MiSeq,41.46242 N 5.31853 W,366_HJTTNDRXX,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2023-06-09T00:00:00Z,2023-04-04T11:11:00Z,1,LUCAS_366,SRP430822
SRR24061655,AMPLICON,487,104285974,PRJNA952168,SAMN34067040,"MIMS.me,MIGS/MIMS/MIMARKS.soil",40132570,UNIVERSITY OF ZURICH,2018-07-03,public,"run.zq,sra,fastq","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",20cm,1475,ENVO:01000215,ENVO:01000215,ENVO:00001998,SRX19863308,Spain,Europe,Spain,Illumina MiSeq,40.48681 N 0.66228 W,365_HLTHGDRXX,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2023-06-09T00:00:00Z,2023-04-04T11:11:00Z,1,LUCAS_365,SRP430822
SRR24061656,AMPLICON,487,6586046,PRJNA952168,SAMN34067040,"MIMS.me,MIGS/MIMS/MIMARKS.soil",2649677,UNIVERSITY OF ZURICH,2018-07-03,public,"run.zq,fastq,sra","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",20cm,1475,ENVO:01000215,ENVO:01000215,ENVO:00001998,SRX19863307,Spain,Europe,Spain,Illumina MiSeq,40.48681 N 0.66228 W,365_HJTTNDRXX,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2023-06-09T00:00:00Z,2023-04-04T11:11:00Z,1,LUCAS_365,SRP430822
SRR24061657,AMPLICON,487,137785273,PRJNA952168,SAMN34067039,"MIMS.me,MIGS/MIMS/MIMARKS.soil",53362274,UNIVERSITY OF ZURICH,2018-07-04,public,"fastq,sra,run.zq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",20cm,255,ENVO:01000193,ENVO:01000193,ENVO:00001998,SRX19863306,United Kingdom,Europe,United Kingdom,Illumina MiSeq,55.6217 N 4.11295 W,364_HLTHGDRXX,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2023-06-09T00:00:00Z,2023-04-04T11:11:00Z,1,LUCAS_364,SRP430822
SRR24061658,AMPLICON,487,96575637,PRJNA952168,SAMN34066705,"MIMS.me,MIGS/MIMS/MIMARKS.soil",40749561,UNIVERSITY OF ZURICH,2018-06-04,public,"run.zq,fastq,sra","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",20cm,8,ENVO:01000245,ENVO:01000245,ENVO:00001998,SRX19863305,Denmark,Europe,Denmark,Illumina MiSeq,55.81217 N 12.02472 E,30_HJVG7DRXX,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2023-06-09T00:00:00Z,2023-04-04T11:11:00Z,1,LUCAS_30,SRP430822
SRR24061659,AMPLICON,487,8418485,PRJNA952168,SAMN34067039,"MIMS.me,MIGS/MIMS/MIMARKS.soil",3386956,UNIVERSITY OF ZURICH,2018-07-04,public,"fastq,run.zq,sra","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",20cm,255,ENVO:01000193,ENVO:01000193,ENVO:00001998,SRX19863304,United Kingdom,Europe,United Kingdom,Illumina MiSeq,55.6217 N 4.11295 W,364_HJTTNDRXX,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2023-06-09T00:00:00Z,2023-04-04T11:11:00Z,1,LUCAS_364,SRP430822
SRR24061660,AMPLICON,487,104729632,PRJNA952168,SAMN34067038,"MIMS.me,MIGS/MIMS/MIMARKS.soil",40614447,UNIVERSITY OF ZURICH,2018-06-29,public,"sra,fastq,run.zq","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",20cm,82,ENVO:01000245,ENVO:01000245,ENVO:00001998,SRX19863303,Finland,Europe,Finland,Illumina MiSeq,61.53067 N 29.56599 E,363_HLTHGDRXX,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2023-06-09T00:00:00Z,2023-04-04T11:11:00Z,1,LUCAS_363,SRP430822
SRR24061661,AMPLICON,488,6441112,PRJNA952168,SAMN34067038,"MIMS.me,MIGS/MIMS/MIMARKS.soil",2609005,UNIVERSITY OF ZURICH,2018-06-29,public,"fastq,run.zq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",20cm,82,ENVO:01000245,ENVO:01000245,ENVO:00001998,SRX19863302,Finland,Europe,Finland,Illumina MiSeq,61.53067 N 29.56599 E,363_HJTTNDRXX,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2023-06-09T00:00:00Z,2023-04-04T11:11:00Z,1,LUCAS_363,SRP430822
SRR24061662,AMPLICON,487,135996227,PRJNA952168,SAMN34067037,"MIMS.me,MIGS/MIMS/MIMARKS.soil",52246468,UNIVERSITY OF ZURICH,2018-07-04,public,"sra,fastq,run.zq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",20cm,527,ENVO:01000245,ENVO:01000245,ENVO:00001998,SRX19863301,Spain,Europe,Spain,Illumina MiSeq,42.72179 N 2.88748 W,362_HLTHGDRXX,PAIRED,PCR,METAGENOMIC,soil metagenome,ILLUMINA,2023-06-09T00:00:00Z,2023-04-04T11:12:00Z,1,LUCAS_362,SRP430822
