ProvId,Location,Municipality,Date,Year,Month,Day,Date2,MinSampleDepth,MaxSampleDepth,Chlorophyll,pH,Temperature,P,DissolvedOxygen,ElecticalConductivity,N,Turbidity,LocationEdited
23151,Bäen,Kristianstad,2/14/2000,2000,2,14,45,1,1,1,5.65,2.6,7,,7.35,752,,Bäen
23152,Bäen,Kristianstad,4/11/2000,2000,4,11,102,1,1,3.1,5.56,7.1,13,,7.57,662,,Bäen
23153,Bäen,Kristianstad,8/15/2000,2000,8,15,228,1,1,6.8,6.15,20,21,,7.6,430,,Bäen
23154,Bäen,Kristianstad,10/16/2000,2000,10,16,290,1,1,10.2,5.86,12,14,,7.65,459,,Bäen
23155,Bäen,Kristianstad,2/12/2001,2001,2,12,43,1,1,1.3,4.73,1.7,5,,4.87,578,,Bäen
23156,Bäen,Kristianstad,4/9/2001,2001,4,9,99,1,1,3.1,5.72,6.7,14,,7.37,577,,Bäen
23157,Bäen,Kristianstad,8/14/2001,2001,8,14,226,1,1,43.8,6.08,19.5,20,,7.23,294,,Bäen
23158,Bäen,Kristianstad,10/15/2001,2001,10,15,288,1,1,7,5.59,13.4,13,,6.95,436,,Bäen
23159,Bäen,Kristianstad,2/11/2002,2002,2,11,42,1,1,1.5,5.12,4.8,12,,6.77,774,,Bäen
23160,Bäen,Kristianstad,4/15/2002,2002,4,15,105,1,1,5.8,5.11,9.3,12,,6.89,814,,Bäen
23161,Bäen,Kristianstad,8/13/2002,2002,8,13,225,1,1,20,5.74,22.3,19,,6.8,577,,Bäen
23162,Bäen,Kristianstad,10/21/2002,2002,10,21,294,1,1,4.9,6,6.5,13,,6.5,475,,Bäen
23163,Bäen,Kristianstad,2/17/2003,2003,2,17,48,1,1,2.2,5.34,1.6,9,,6.94,534,,Bäen
23164,Bäen,Kristianstad,4/7/2003,2003,4,7,97,1,1,3.1,5.68,3.8,13,,7.41,862,,Bäen
23165,Bäen,Kristianstad,8/12/2003,2003,8,12,224,1,1,4.1,5.94,23.3,13,,7.39,497,,Bäen
23166,Bäen,Kristianstad,10/20/2003,2003,10,20,293,1,1,12.1,6.1,7.6,11,,7.28,513,,Bäen
23167,Bäen,Kristianstad,2/10/2004,2004,2,10,41,1,1,1.3,5.52,1.6,6,,7.31,513,,Bäen
23168,Bäen,Kristianstad,4/14/2004,2004,4,14,105,1,1,7.5,5.59,9.5,18,,7.37,1164,,Bäen
23169,Bäen,Kristianstad,8/16/2004,2004,8,16,229,1,1,8.1,6.06,20.7,16,,7.05,407,,Bäen
23170,Bäen,Kristianstad,10/18/2004,2004,10,18,292,1,1,4.4,5.89,9.4,12,,7.05,780,,Bäen
23171,Bäen,Kristianstad,2/14/2005,2005,2,14,45,1,1,1.5,5.31,3.1,7,,7.27,468,,Bäen
23172,Bäen,Kristianstad,4/19/2005,2005,4,19,109,1,1,1.5,5.33,8.9,10,,7.19,669,,Bäen
23173,Bäen,Kristianstad,8/11/2005,2005,8,11,223,0.5,0.5,22,5.97,18.5,20,,6.83,623,,Bäen
23174,Bäen,Kristianstad,10/19/2005,2005,10,19,292,0.5,0.5,19.5,6,8.5,15,,6.93,789,,Bäen
23176,Bäen,Kristianstad,4/19/2006,2006,4,19,109,0.5,0.5,1.7,5.58,6.4,10,,7.23,888,,Bäen
23177,Bäen,Kristianstad,8/21/2006,2006,8,21,233,0.5,0.5,46.4,6.07,20.7,15,,7.01,311,,Bäen
23178,Bäen,Kristianstad,10/19/2006,2006,10,19,292,0.5,0.5,19.3,5.8,12.7,12,,6.91,574,,Bäen
23180,Bäen,Kristianstad,4/18/2007,2007,4,18,108,0.5,0.5,3.6,5.16,12,13,,7.42,,,Bäen
23181,Bäen,Kristianstad,8/20/2007,2007,8,20,232,0.5,0.5,50.5,5.49,19.7,11,,6.31,,,Bäen
23182,Bäen,Kristianstad,10/16/2007,2007,10,16,289,0.5,0.5,5.3,5.85,10.4,6,,6.45,,,Bäen
23183,Bäen,Kristianstad,3/18/2008,2008,3,18,78,0.5,0.5,3.2,5.23,4.5,17,,6.46,,,Bäen
23184,Bäen,Kristianstad,4/21/2008,2008,4,21,112,0.5,0.5,6.4,5.22,10.4,16,,6.51,,,Bäen
23185,Bäen,Kristianstad,8/21/2008,2008,8,21,234,0.5,0.5,6.5,5.96,19.8,23,,6.19,,,Bäen
23188,Bäen,Kristianstad,4/16/2009,2009,4,16,106,0.5,0.5,8.4,5.44,11.2,17,,6.8,,,Bäen
23189,Bäen,Kristianstad,8/18/2009,2009,8,18,230,0.5,0.5,47.1,5.92,19.6,24,,6.54,,,Bäen
23190,Bäen,Kristianstad,10/13/2009,2009,10,13,286,0.3,0.3,24.3,6.1,9.6,17,,6.46,,,Bäen
23192,Bäen,Kristianstad,8/25/2010,2010,8,25,237,0.5,0.5,11.2,6.01,8.2,13,,6.83,,2.9,Bäen
23193,Bäen,Kristianstad,10/18/2010,2010,10,18,291,0.5,0.5,5.1,5.84,0.8,10,,7.38,,0.96,Bäen
23195,Bäen,Kristianstad,4/27/2011,2011,4,27,117,0.5,0.5,7,5.86,16.9,12,,6.73,,1.9,Bäen
28981,Krageholmssjön,Ystad,3/5/2001,2001,3,5,64,0.5,0.5,71.2,8.57,2.1,38,,39,1549,,Krageholmssjön
28982,Krageholmssjön,Ystad,4/24/2001,2001,4,24,114,0.5,0.5,14.6,8.38,6.4,32,,38,806,,Krageholmssjön
28983,Krageholmssjön,Ystad,8/16/2001,2001,8,16,228,0.5,0.5,185.8,8.9,21,59,,31.4,1072,,Krageholmssjön
28984,Krageholmssjön,Ystad,10/17/2001,2001,10,17,290,0.5,0.5,65.5,7.8,14.6,147,,32.8,1494,,Krageholmssjön
28985,Krageholmssjön,Ystad,2/28/2002,2002,2,28,59,0.5,0.5,30.6,8.23,2.1,45,,34.7,1762,,Krageholmssjön
28986,Krageholmssjön,Ystad,4/17/2002,2002,4,17,107,0.5,0.5,12.3,8.18,7.4,28,,35.9,1362,,Krageholmssjön
28987,Krageholmssjön,Ystad,8/21/2002,2002,8,21,233,0.5,0.5,121.2,8.87,21.6,209,,29.8,1606,,Krageholmssjön
28988,Krageholmssjön,Ystad,10/22/2002,2002,10,22,295,0.2,0.2,77.5,8.76,6.9,130,,29.8,701,,Krageholmssjön
28989,Krageholmssjön,Ystad,2/10/2003,2003,2,10,41,2,2,20.8,8.05,1.2,28,,32.7,2034,,Krageholmssjön
28990,Krageholmssjön,Ystad,4/8/2003,2003,4,8,98,0.5,0.5,22.8,8.56,5.9,75,,33.9,1539,,Krageholmssjön
28991,Krageholmssjön,Ystad,8/12/2003,2003,8,12,224,0.5,0.5,198.2,8.89,23,127,,26.3,1001,,Krageholmssjön
28992,Krageholmssjön,Ystad,10/14/2003,2003,10,14,287,0.5,0.5,31.7,7.86,10.6,221,,31,1854,,Krageholmssjön
28993,Krageholmssjön,Ystad,2/11/2004,2004,2,11,42,1,1,4.4,7.71,0.9,54,,36.3,1318,,Krageholmssjön
28994,Krageholmssjön,Ystad,4/20/2004,2004,4,20,111,1,1,19.1,8.77,10.6,45,,35.5,1428,,Krageholmssjön
28995,Krageholmssjön,Ystad,8/18/2004,2004,8,18,231,1,1,27.5,8.28,20.8,67,,36.8,743,,Krageholmssjön
28996,Krageholmssjön,Ystad,10/19/2004,2004,10,19,293,1,1,21.5,7.97,9.8,51,,36.8,431,,Krageholmssjön
28997,Krageholmssjön,Ystad,2/13/2005,2005,2,13,44,1,1,5.5,8.08,2,15,,39.9,1150,,Krageholmssjön
28998,Krageholmssjön,Ystad,4/14/2005,2005,4,14,104,1,1,31.1,8.68,8.2,26,,37.6,865,,Krageholmssjön
28999,Krageholmssjön,Ystad,8/17/2005,2005,8,17,229,0.5,0.5,159.1,8.98,18.1,181,,30.3,1005,,Krageholmssjön
29000,Krageholmssjön,Ystad,10/17/2005,2005,10,17,290,0.5,0.5,19,8.31,12.6,127,,29.4,926,,Krageholmssjön
29004,Krageholmssjön,Ystad,4/10/2006,2006,4,10,100,0.5,0.5,11.7,7.83,4.2,53,,33.8,923,,Krageholmssjön
29005,Krageholmssjön,Ystad,8/14/2006,2006,8,14,226,0.5,0.5,73.9,8.57,20.9,90,,30.1,1081,,Krageholmssjön
29006,Krageholmssjön,Ystad,10/16/2006,2006,10,16,289,0.5,0.5,52.5,8.23,13.8,89,,30.5,1221,,Krageholmssjön
29008,Krageholmssjön,Ystad,4/16/2007,2007,4,16,106,0.5,0.5,24.8,8.54,12.1,34,,34,,,Krageholmssjön
29009,Krageholmssjön,Ystad,8/22/2007,2007,8,22,234,0.5,0.5,61,7.89,20.5,131,,29.5,,,Krageholmssjön
29010,Krageholmssjön,Ystad,10/17/2007,2007,10,17,290,0.3,0.3,18,7.79,11.5,54,,31.6,,,Krageholmssjön
29011,Krageholmssjön,Ystad,2/20/2008,2008,2,20,51,0.5,0.5,26.1,8.17,3,41,,37.1,,,Krageholmssjön
29012,Krageholmssjön,Ystad,4/14/2008,2008,4,14,105,0.5,0.5,14,8.31,8.2,37,,37,,,Krageholmssjön
29013,Krageholmssjön,Ystad,8/12/2008,2008,8,12,225,0.5,0.5,51.5,8.2,19.7,64,,37.2,,,Krageholmssjön
29014,Krageholmssjön,Ystad,10/14/2008,2008,10,14,288,0.5,0.5,26.4,8.17,12.2,62,,36.7,,,Krageholmssjön
29016,Krageholmssjön,Ystad,4/20/2009,2009,4,20,110,0.5,0.5,14.7,8.46,10.6,29,,37.4,,,Krageholmssjön
29017,Krageholmssjön,Ystad,8/10/2009,2009,8,10,222,0.5,0.5,203.5,9.14,22.4,190,,25.5,,,Krageholmssjön
29018,Krageholmssjön,Ystad,10/12/2009,2009,10,12,285,0.3,0.3,96.7,8.38,10.8,128,,28.8,,,Krageholmssjön
29021,Krageholmssjön,Ystad,8/23/2010,2010,8,23,235,0.5,0.5,91.3,8.46,21,161,,25.8,,8,Krageholmssjön
29022,Krageholmssjön,Ystad,10/21/2010,2010,10,21,294,0.5,0.5,11.8,7.77,8.5,79,,30.5,,5,Krageholmssjön
29024,Krageholmssjön,Ystad,4/20/2011,2011,4,20,110,0.5,0.5,15,8,9.9,31,,35.8,,1.5,Krageholmssjön
29312,Havgårdssjön,Svedala,3/5/2001,2001,3,5,64,0.5,0.5,20.9,8.23,2.3,38,,32.1,1439,,Havgårdssjön
29313,Havgårdssjön,Svedala,4/24/2001,2001,4,24,114,0.5,0.5,16.9,8.18,7.1,52,,31.9,1234,,Havgårdssjön
29314,Havgårdssjön,Svedala,8/16/2001,2001,8,16,228,0.5,0.5,58.1,8.41,20.3,110,,27.6,1396,,Havgårdssjön
29315,Havgårdssjön,Svedala,10/17/2001,2001,10,17,290,0.5,0.5,22.2,7.87,13.1,59,,29,887,,Havgårdssjön
29316,Havgårdssjön,Svedala,2/28/2002,2002,2,28,59,0.5,0.5,31.1,8.06,1.8,77,,29.5,1523,,Havgårdssjön
29317,Havgårdssjön,Svedala,4/17/2002,2002,4,17,107,0.5,0.5,13.5,8.08,7.8,43,,30.3,1430,,Havgårdssjön
29318,Havgårdssjön,Svedala,8/21/2002,2002,8,21,233,0.5,0.5,27.4,8.28,22.2,75,,26.5,829,,Havgårdssjön
29319,Havgårdssjön,Svedala,10/22/2002,2002,10,22,295,0.2,0.2,28.4,8.09,6.3,49,,27.6,861,,Havgårdssjön
29320,Havgårdssjön,Svedala,2/10/2003,2003,2,10,41,1.7,1.7,6.5,7.91,1.7,34,,30.1,1821,,Havgårdssjön
29321,Havgårdssjön,Svedala,4/8/2003,2003,4,8,98,0.5,0.5,10.5,8.23,5.6,23,,29.8,1614,,Havgårdssjön
29322,Havgårdssjön,Svedala,8/12/2003,2003,8,12,224,0.5,0.5,54.1,8.58,23.9,74,,27.4,613,,Havgårdssjön
29323,Havgårdssjön,Svedala,10/15/2003,2003,10,15,288,0.5,0.5,20.7,8.15,9.6,54,,28.6,1052,,Havgårdssjön
29324,Havgårdssjön,Svedala,2/11/2004,2004,2,11,42,1,1,11.3,7.83,1.3,34,,30.1,1545,,Havgårdssjön
29325,Havgårdssjön,Svedala,4/20/2004,2004,4,20,111,1,1,20.3,8.55,11.9,54,,29,948,,Havgårdssjön
29326,Havgårdssjön,Svedala,8/18/2004,2004,8,18,231,1,1,47.3,8.1,20.9,85,,28.2,796,,Havgårdssjön
29327,Havgårdssjön,Svedala,10/20/2004,2004,10,20,294,1,1,17.2,7.9,9.1,54,,28.7,700,,Havgårdssjön
29328,Havgårdssjön,Svedala,2/13/2005,2005,2,13,44,1,1,12.4,8.28,1.9,12,,31.5,1135,,Havgårdssjön
29329,Havgårdssjön,Svedala,4/14/2005,2005,4,14,104,1,1,16.9,8.27,9.8,34,,30.5,1102,,Havgårdssjön
29330,Havgårdssjön,Svedala,8/15/2005,2005,8,15,227,0.5,0.5,252.9,8.78,19,138,,25.2,1448,,Havgårdssjön
29331,Havgårdssjön,Svedala,10/17/2005,2005,10,17,290,0.5,0.5,23.7,8.14,12,46,,27.1,869,,Havgårdssjön
29335,Havgårdssjön,Svedala,4/10/2006,2006,4,10,100,0.5,0.5,13.7,8.05,5,42,,28.6,1098,,Havgårdssjön
29336,Havgårdssjön,Svedala,8/15/2006,2006,8,15,227,0.5,0.5,37.5,7.92,19.9,78,,24.2,900,,Havgårdssjön
29337,Havgårdssjön,Svedala,10/16/2006,2006,10,16,289,0.5,0.5,27.4,8.2,13.3,42,,25.9,922,,Havgårdssjön
29339,Havgårdssjön,Svedala,4/16/2007,2007,4,16,106,0.5,0.5,18.9,8.44,12.8,30,,27.9,,,Havgårdssjön
29340,Havgårdssjön,Svedala,8/22/2007,2007,8,22,234,0.5,0.5,27.4,8.1,20.4,67,,27.1,,,Havgårdssjön
29341,Havgårdssjön,Svedala,10/17/2007,2007,10,17,290,0.5,0.5,26.4,8.04,11.3,31,,28.4,,,Havgårdssjön
29342,Havgårdssjön,Svedala,2/21/2008,2008,2,21,52,0.5,0.5,16.7,8.07,2.7,43,,30.1,,,Havgårdssjön
29343,Havgårdssjön,Svedala,4/14/2008,2008,4,14,105,0.5,0.5,7.4,8.21,9.3,35,,29.8,,,Havgårdssjön
